,course name,Number of students who purchased the course,The number of students who rated the course,The number of factors that took part in the creation of the course,Last updated date,the language of the course,The number of languages into which the course is translated,The number of languages for which the course has subtitles,price,Is the course on sale?,The number of episodes,Number of lectures in the course,Duration of each lecture,The name of the first lecturer,Number of followers of the first lecturer,The course number of the first lecturer,Average rating of all courses of the first lecturer,The name of the second lecturer,Number of followers of the second lecturer,The course number of the second lecturer,Average rating of all courses of the second lecturer,Does the course contain exercises?,Does the course contain exams?,Does the course contain a final exam?,Course rating
0,Machine Learning A-Z™: Python & R in Data Science [2023],"915,027","164,842",4,1.2023,English,1,13,399.90,1,46,382,42h 33m,Kirill Eremenko,"2,282,141",59,4.5,Hadelin de Ponteves,"1,651,425",42,4.5,1,0,0,4.5
1,Python for Data Science and Machine Learning Bootcamp,"608,897","125,319",1,5.2020,English,1,14,349.90,1,27,165,24h 54m,Jose Portilla,"3,197,878",58,4.6,null,null,null,null,0,0,0,4.6
2,The Data Science Course 2023: Complete Data Science Bootcamp,"561,024","117,647",2,12.2022,English,1,15,399.90,1,65,517,31h 51m,365 Careers,"2,202,206",91,4.6,365 Careers Team,"715,500",3,4.6,1,0,0,4.6
3,R Programming A-Z™: R For Data Science With Real Exercises!,"247,180","48,969",3,1.2023,English,1,15,349.90,1,8,78,10h 35m,Kirill Eremenko,"2,282,141",59,4.5,Ligency I Team,"2,286,300",148,4.6,1,0,0,4.6
4,Deep Learning A-Z™: Hands-On Artificial Neural Networks,"347,100","41,805",4,1.2023,English,1,12,429.90,1,26,168,22h 32m,Kirill Eremenko,"2,282,141",59,4.5,Hadelin de Ponteves,"1,651,425",42,4.5,0,0,0,4.5
5,Statistics for Data Science and Business Analysis,"163,880","35,555",2,12.2022,English,1,16,399.90,1,18,92,4h 51m,365 Careers,"2,202,206",91,4.6,365 Careers Team,"715,500",3,4.6,1,0,0,4.6
6,Data Science A-Z™: Real-Life Data Science Exercises Included,"209,694","32,678",3,1.2023,English,1,9,349.90,1,28,216,21h 12m,Kirill Eremenko,"2,282,141",59,4.5,Ligency I Team,"2,286,300",148,4.6,1,0,0,4.5
7,"Machine Learning, Data Science and Deep Learning with Python","171,404","28,334",3,9.2022,English,1,11,89.90,1,13,116,15h 36m,Sundog Education by Frank Kane,"676,991",33,4.6,Frank Kane,"626,100",26,4.6,0,0,0,4.5
8,Python A-Z™: Python For Data Science With Real Exercises!,"150,372","25,409",3,1.2023,English,1,7,349.90,1,8,71,11h 5m,Kirill Eremenko,"2,282,141",59,4.5,Ligency I Team,"2,286,300",148,4.6,1,0,0,4.6
9,Artificial Intelligence A-Z™: Learn How To Build An AI,"192,622","22,179",6,1.2023,English,1,16,399.90,1,19,124,16h 57m,Hadelin de Ponteves,"1,651,425",42,4.5,Kirill Eremenko,"2,282,141",59,4.5,1,0,0,4.4
10,Spark and Python for Big Data with PySpark,"111,303","20,537",1,5.2020,English,1,16,349.90,1,18,67,10h 35m,Jose Portilla,"3,197,878",58,4.6,null,null,null,null,0,0,0,4.5
11,Data Analysis with Pandas and Python,"176,164","18,564",1,1.2023,English,1,25,69.90,1,15,207,22h 0m,Boris Paskhaver,"347,897",7,4.7,null,null,null,null,1,1,0,4.6
12,Complete Guide to TensorFlow for Deep Learning with Python,"93,512","16,582",1,4.2020,English,1,12,429.90,1,13,96,14h 9m,Jose Portilla,"3,197,878",58,4.6,null,null,null,null,0,0,0,4.2
13,Apache Spark with Scala - Hands On with Big Data!,"88,789","16,419",3,9.2022,English,1,10,69.90,1,10,69,8h 58m,Sundog Education by Frank Kane,"676,991",33,4.6,Frank Kane,"626,100",26,4.6,1,0,0,4.6
14,Data Science and Machine Learning Bootcamp with R,"87,001","15,666",1,12.2020,English,1,15,349.90,1,35,128,17h 45m,Jose Portilla,"3,197,878",58,4.6,null,null,null,null,1,0,0,4.6
15,Taming Big Data with Apache Spark and Python - Hands On!,"85,431","14,173",3,10.2022,English,1,11,89.90,1,8,66,6h 57m,Sundog Education by Frank Kane,"676,991",33,4.6,Frank Kane,"626,100",26,4.6,0,0,0,4.5
16,Complete Machine Learning & Data Science Bootcamp 2023,"84,557","13,892",3,1.2023,English,1,14,499.90,1,21,378,43h 48m,Andrei Neagoie,"954,385",26,4.6,Daniel Bourke,"120,393",3,4.7,0,1,0,4.6
17,NLP - Natural Language Processing with Python,"65,196","12,666",1,9.2019,English,1,14,399.90,1,9,80,11h 24m,Jose Portilla,"3,197,878",58,4.6,null,null,null,null,1,0,0,4.6
18,Introduction to Machine Learning for Data Science,"58,173","12,502",1,7.2020,English,1,7,349.90,1,14,62,5h 33m,David Valentine,"85,697",2,4.5,null,null,null,null,1,0,0,4.5
19,Data Science: Natural Language Processing (NLP) in Python,"43,613","11,384",1,1.2023,English,1,5,349.90,1,15,88,11h 52m,Lazy Programmer Inc.,"517,587",32,4.6,null,null,null,null,0,0,0,4.6
20,Python for Machine Learning & Data Science Masterclass,"82,220","10,713",1,9.2021,English,1,14,349.90,1,26,231,44h 4m,Jose Portilla,"3,197,878",58,4.6,null,null,null,null,0,1,0,4.6
21,Statistics for Business Analytics and Data Science A-Z™,"57,959","10,334",3,1.2023,English,1,10,349.90,1,6,41,6h 2m,Kirill Eremenko,"2,282,141",59,4.5,Ligency I Team,"2,286,300",148,4.6,1,0,0,4.5
22,Artificial Intelligence: Reinforcement Learning in Python,"43,293","9,451",2,1.2023,English,1,6,279.90,0,14,111,14h 43m,Lazy Programmer Team,"182,409",16,4.6,Lazy Programmer Inc.,"517,587",32,4.6,0,0,0,4.6
23,Data Science: Deep Learning and Neural Networks in Python,"51,927","8,774",1,1.2023,English,1,3,349.90,1,14,89,12h 8m,Lazy Programmer Inc.,"517,587",32,4.6,null,null,null,null,0,0,0,4.7
24,Tensorflow 2.0: Deep Learning and Artificial Intelligence,"41,149","8,416",2,1.2023,English,1,1,399.90,1,21,136,23h 27m,Lazy Programmer Inc.,"517,587",32,4.6,Lazy Programmer Team,"182,409",16,4.6,0,0,0,4.7
25,R Programming: Advanced Analytics In R For Data Science,"58,154","8,272",3,1.2023,English,1,10,349.90,1,5,53,5h 58m,Kirill Eremenko,"2,282,141",59,4.5,Ligency I Team,"2,286,300",148,4.6,1,0,0,4.6
26,Interactive Python Dashboards with Plotly and Dash,"43,686","8,021",1,9.2019,English,1,1,349.90,1,13,69,9h 43m,Jose Portilla,"3,197,878",58,4.6,null,null,null,null,0,0,0,4.7
27,DP-900 Azure Data Fundamentals Exam Prep In One Day,"39,850","7,698",2,11.2022,English,1,1,105.90,1,11,39,3h 21m,Scott Duffy  • 800.000+ Students,"868,230",49,4.5,Software Architect.ca,"845,721",42,4.5,1,0,1,4.5
28,Natural Language Processing with Deep Learning in Python,"42,884","7,227",1,1.2023,English,1,7,349.90,1,13,95,12h 2m,Lazy Programmer Inc.,"517,587",32,4.6,null,null,null,null,0,0,0,4.6
29,Complete Tensorflow 2 and Keras Deep Learning Bootcamp,"42,047","6,921",1,6.2022,English,1,1,399.90,1,13,116,19h 12m,Jose Portilla,"3,197,878",58,4.6,null,null,null,null,1,0,0,4.7
30,"Deep Learning and Computer Vision A-Z™: OpenCV, SSD & GANs","46,106","6,374",4,1.2023,English,1,11,349.90,1,12,85,11h 5m,Hadelin de Ponteves,"1,651,425",42,4.5,Kirill Eremenko,"2,282,141",59,4.5,1,0,0,4.2
31,Bayesian Machine Learning in Python: A/B Testing,"33,168","5,804",1,1.2023,English,1,4,349.90,1,11,79,10h 26m,Lazy Programmer Inc.,"517,587",32,4.6,null,null,null,null,0,0,0,4.6
32,TensorFlow Developer Certificate in 2023: Zero to Mastery,"44,673","5,916",3,1.2023,English,1,1,349.90,1,19,422,63h 28m,Andrei Neagoie,"954,385",26,4.6,Daniel Bourke,"120,393",3,4.7,0,1,0,4.7
33,Probability and Statistics for Business and Data Science,"30,368","5,790",1,9.2019,English,1,8,349.90,1,9,53,5h 14m,Jose Portilla,"3,197,878",58,4.6,null,null,null,null,1,0,0,4.6
34,The Complete Machine Learning Course with Python,"32,874","5,709",3,1.2020,English,1,3,399.90,1,13,111,17h 18m,Codestars • over 2 million students worldwide!,"2,176,009",81,4.5,Anthony NG,"69,934",1,4.4,0,0,0,4.4
35,Deep Learning Prerequisites: Linear Regression in Python,"30,798","5,647",1,1.2023,English,1,1,349.90,1,9,53,6h 21m,Lazy Programmer Inc.,"517,587",32,4.6,null,null,null,null,1,0,0,4.5
36,"Deep Learning: Advanced Computer Vision (GANs, SSD, +More!)","32,154","5,200",1,1.2023,English,1,7,349.90,1,16,110,15h 38m,Lazy Programmer Inc.,"517,587",32,4.6,null,null,null,null,0,0,0,4.6
37,Scala and Spark for Big Data and Machine Learning,"30,374","5,146",1,9.2019,English,1,8,349.90,1,17,80,10h 11m,Jose Portilla,"3,197,878",58,4.6,null,null,null,null,0,0,0,4.2
